wd,dr2name,source_id,teffh,loggh,g_gaia_mag,pwd,ra,dec
WDJ001303.44+405241.33,Gaia DR2 383267458269916800 ,383267458269916800,10263.52,7.872272,20.27828,0.979581,3.26439202034341,40.8780986192092
WDJ001047.10+412803.82,Gaia DR2 383355522278000896 ,383355522278000896,12314.89,7.349732,20.08506,0.967177,2.69622142233498,41.4676999435042
WDJ001930.96+414943.56,Gaia DR2 383592016061761408 ,383592016061761408,5579.09,7.933415,20.51085,0.955372,4.87880481773864,41.8286417502189
WDJ001425.51+420353.34,Gaia DR2 383718185021068800 ,383718185021068800,17919.34,7.420867,20.45757,0.924557,3.60623508602105,42.0647722514188
WDJ000900.31+411236.27,Gaia DR2 384075560660484864 ,384075560660484864,19177.4,8.613325,20.10758,0.998834,2.25130652437298,41.2099888949227
WDJ000612.45+414343.56,Gaia DR2 384162112840762624 ,384162112840762624,8001.993,8.510674,20.5455,0.983387,1.5519052128136,41.728818948149
WDJ000238.88+412727.45,Gaia DR2 384234203868321280 ,384234203868321280,10383.4,7.599085,20.15341,0.962342,0.662051310263511,41.4576208803686
WDJ000203.21+420614.09,Gaia DR2 384326180592929152 ,384326180592929152,5526.089,7.627411,20.50477,0.892674,0.513564196003048,42.1036473303667
WDJ000811.37+424557.79,Gaia DR2 384602192369846528 ,384602192369846528,13174.46,7.875152,20.1786,0.993424,2.04734684166034,42.7660835102529
WDJ000817.47+430246.59,Gaia DR2 384612431572089856 ,384612431572089856,11918.6,7.982779,20.48658,0.994561,2.07280635718697,43.0462477813272
WDJ001121.49+424208.26,Gaia DR2 384636315887021824 ,384636315887021824,12469.98,8.245303,20.11189,0.995073,2.83948233914903,42.7022884355629
WDJ000000.55+434914.36,Gaia DR2 384905313981247488 ,384905313981247488,11307.5,8.245237,20.16148,0.991778,0.00226254060393414,43.8206193587733
WDJ001804.80+425045.34,Gaia DR2 385158648333267456 ,385158648333267456,28094.59,8.003981,20.34196,0.941093,4.52002879674887,42.8459434305181
WDJ001819.78+431426.97,Gaia DR2 385193660907174144 ,385193660907174144,23896.87,8.062153,20.28611,0.965622,4.5822703252416,43.240799330792
WDJ002336.66+444613.71,Gaia DR2 385799251295355520 ,385799251295355520,7358.49,7.861795,20.34323,0.977714,5.90274120619368,44.7703714921341
WDJ000521.31+461905.57,Gaia DR2 387067817130867200 ,387067817130867200,6846.699,8.199867,20.33912,0.989877,1.33877571445835,46.3178872179209
WDJ000435.87+472522.38,Gaia DR2 387230643635885056 ,387230643635885056,4560.719,8.194032,20.44373,0.901353,1.14973606889626,47.4223731592945
WDJ004527.42+430621.76,Gaia DR2 387463465223105792 ,387463465223105792,21767.92,8.199794,20.27769,0.989209,11.364271409046,43.1060691836566
WDJ002438.77+454343.05,Gaia DR2 388857336729626880 ,388857336729626880,10748.67,7.311386,20.10528,0.97872,6.16158368809651,45.7286140975561
WDJ002954.31+452006.86,Gaia DR2 388869019040675968 ,388869019040675968,12649.14,7.666463,20.18695,0.992643,7.47634434547278,45.3351919990391
WDJ002750.84+455520.48,Gaia DR2 388918840660821760 ,388918840660821760,18011.76,8.39451,20.17562,0.99893,6.96187171629732,45.9223487201364
WDJ002542.45+461851.31,Gaia DR2 388991374067957120 ,388991374067957120,15843.13,8.428731,20.09808,0.998746,6.4267708098077,46.3142272793754
WDJ003616.50+463630.99,Gaia DR2 389190007717145344 ,389190007717145344,14199.58,8.217387,20.35593,0.997035,9.06873788042039,46.608560938318
WDJ003354.79+462812.93,Gaia DR2 389219076057494400 ,389219076057494400,14322.27,8.828209,20.12233,0.998021,8.47835716144121,46.4702193979244
WDJ002805.74+463243.66,Gaia DR2 389314974085122688 ,389314974085122688,12693.33,8.94279,20.4657,0.996503,7.02388711118188,46.5454463411229
WDJ002641.81+462735.57,Gaia DR2 389358095555451008 ,389358095555451008,8542.436,7.40654,20.48537,0.914317,6.67413838293265,46.4599230544163
WDJ003037.88+484208.12,Gaia DR2 391138479760214272 ,391138479760214272,12963.63,7.782713,20.11928,0.996054,7.65774048416291,48.7021946244591
WDJ003038.18+485404.56,Gaia DR2 391165593889934720 ,391165593889934720,17511.72,8.039228,20.49764,0.936345,7.65915594059032,48.9012894312592
WDJ001732.89+465535.41,Gaia DR2 392249677994268288 ,392249677994268288,11815.21,8.479892,20.29726,0.988674,4.38712586927423,46.9264548861095
WDJ000637.86+480238.93,Gaia DR2 393078911625200512 ,393078911625200512,13536.98,8.261203,20.31428,0.995825,1.65780906111587,48.0441372342999
WDJ000439.18+480759.07,Gaia DR2 393276170883856000 ,393276170883856000,12968.48,7.908249,20.09202,0.987663,1.16327055346472,48.1330573974952
WDJ000519.82+483812.66,Gaia DR2 393377600829417600 ,393377600829417600,18140.18,7.529486,20.32177,0.932198,1.33259725196113,48.6368284200248
WDJ001120.79+483351.98,Gaia DR2 393528543161511680 ,393528543161511680,12346.09,7.985488,20.38354,0.969075,2.83670468710339,48.5644631403465
WDJ000902.79+490739.24,Gaia DR2 393611212690674176 ,393611212690674176,17311.95,7.922849,20.24602,0.975527,2.26164374940337,49.1275481478139
WDJ000217.96+495732.24,Gaia DR2 393896093585414144 ,393896093585414144,8983.543,8.227345,20.04494,0.994833,0.574768642448251,49.9589305570271
WDJ000155.57+500135.01,Gaia DR2 393897360592059392 ,393897360592059392,7892.517,7.730411,20.01127,0.987377,0.482027262868897,50.0264184114046
WDJ002311.70+492513.14,Gaia DR2 394231341545035520 ,394231341545035520,9504.32,7.612667,20.30253,0.943109,5.79873627247824,49.4202961446449
WDJ001120.03+500925.76,Gaia DR2 395218389452584960 ,395218389452584960,15550.8,8.252292,20.05542,0.988221,2.83337833504959,50.157141703869
WDJ011529.59+452313.85,Gaia DR2 397841446240466432 ,397841446240466432,10444.62,7.856849,20.0747,0.989373,18.8735102823042,45.387119496824
WDJ054721.61+671425.70,Gaia DR2 481372993868567808 ,481372993868567808,29016.04,8.301999,20.16295,0.994934,86.8400136284171,67.240488530629
WDJ054247.64+672033.48,Gaia DR2 481432539296702592 ,481432539296702592,13606.05,7.697447,20.27632,0.990284,85.6985919935106,67.3426631457667
WDJ054724.28+675258.31,Gaia DR2 481462672786624512 ,481462672786624512,6183.226,8.111264,20.48257,0.986471,86.8509330368994,67.8827089514153
WDJ054802.81+681515.45,Gaia DR2 481766722111788160 ,481766722111788160,10238.66,8.287293,20.23796,0.996782,87.011765857997,68.254251104577
WDJ044656.71+643648.19,Gaia DR2 482096541239991040 ,482096541239991040,6546.879,7.598002,20.33474,0.951524,71.7371125537249,64.6132768005556
WDJ044710.75+651324.80,Gaia DR2 482314798597598080 ,482314798597598080,15301.57,7.449402,20.0216,0.97353,71.7948265919856,65.2235558282147
WDJ044835.10+652115.35,Gaia DR2 482321636185529728 ,482321636185529728,12618.82,8.478674,20.22591,0.997202,72.1463729402543,65.3542165139518
WDJ050958.26+675340.86,Gaia DR2 483760725104349440 ,483760725104349440,7243.867,8.126627,20.43363,0.990091,77.4929925487219,67.8945163979948
WDJ052559.32+671534.74,Gaia DR2 484278281547263872 ,484278281547263872,8283.216,8.062082,20.12403,0.994079,81.4973227659789,67.2595716134372
WDJ052906.47+674126.72,Gaia DR2 484306387812303744 ,484306387812303744,5983.135,7.511605,20.5575,0.798095,82.2770170732509,67.6907259959074
WDJ054632.99+692626.63,Gaia DR2 485029252287633536 ,485029252287633536,6092.265,8.285246,20.37723,0.991009,86.6375969251024,69.4404283541009
WDJ055807.46+705508.94,Gaia DR2 486015720372828416 ,486015720372828416,12912.36,7.726865,20.12425,0.974839,89.5311248666605,70.9190973685749
WDJ053842.33+705137.43,Gaia DR2 486142232932235008 ,486142232932235008,10491.04,7.700971,20.41829,0.950261,84.6764033206861,70.8604472178018
WDJ033912.33+620208.28,Gaia DR2 486624570643808128 ,486624570643808128,4949.848,7.965694,20.02268,0.988133,54.801325364784,62.0349859665378
WDJ033845.48+623826.56,Gaia DR2 486845916075748992 ,486845916075748992,14774.14,7.661757,20.17623,0.892015,54.6895634399821,62.6406792514439
WDJ034019.75+623008.90,Gaia DR2 486851791590874752 ,486851791590874752,9826.899,8.020367,20.20955,0.956214,55.0824690897722,62.5023947658391
WDJ032942.39+640450.97,Gaia DR2 488016659738326784 ,488016659738326784,4812.543,7.671249,20.51931,0.871427,52.426882667393,64.0808551668044
WDJ034247.53+655348.84,Gaia DR2 488611250714006016 ,488611250714006016,10333.92,8.391244,20.29103,0.98256,55.6982192903776,65.8968384994449
WDJ040654.92+670253.51,Gaia DR2 490403905641208960 ,490403905641208960,12952.41,8.03221,20.05727,0.99127,61.7286352439976,67.0482119218962
WDJ042133.06+682110.78,Gaia DR2 490588692312620800 ,490588692312620800,7006.399,8.152561,20.59605,0.974698,65.3879901164448,68.3529389634478
WDJ032653.51+670612.72,Gaia DR2 492626667178283136 ,492626667178283136,16723.06,9.309551,20.1606,0.995629,51.7228041967679,67.1034993034786
WDJ040045.80+691408.63,Gaia DR2 494027376273847424 ,494027376273847424,15380.3,8.760539,20.24647,0.997317,60.1907647851356,69.2357513417728
WDJ035301.22+695013.83,Gaia DR2 494848200359071488 ,494848200359071488,12797.61,8.762807,20.14185,0.996967,58.2552799383585,69.8370850008236
WDJ034536.38+711302.79,Gaia DR2 495219762273671936 ,495219762273671936,5673.322,8.134172,20.20734,0.971248,56.4012498589142,71.2171968848053
WDJ042215.28+692210.39,Gaia DR2 496885041352324224 ,496885041352324224,17883.18,7.128082,20.27407,0.916566,65.5637666734046,69.3695068514386
WDJ045450.03+714103.76,Gaia DR2 497590171903139584 ,497590171903139584,11235.55,7.069041,20.32298,0.927918,73.7086052454912,71.6843590747993
WDJ045622.41+715128.13,Gaia DR2 497619240241985792 ,497619240241985792,19721.38,8.999342,20.33268,0.998488,74.0934487110287,71.8577804309142
WDJ051517.68+703830.92,Gaia DR2 497778467566153472 ,497778467566153472,24052.91,8.204082,20.30091,0.995464,78.8237328947472,70.6419244073741
WDJ052847.33+710923.24,Gaia DR2 497903223480478336 ,497903223480478336,22385.16,8.675992,20.59085,0.998293,82.1972027560028,71.1564216663168
WDJ051432.95+705357.53,Gaia DR2 497984866516410624 ,497984866516410624,17991.86,7.688719,20.19076,0.993737,78.6373135993174,70.8992807172874
WDJ053315.04+705902.86,Gaia DR2 498211327254205184 ,498211327254205184,18976.03,7.915056,20.22041,0.994499,83.3128326807263,70.9840365224917
WDJ053516.36+711411.83,Gaia DR2 498219126914928896 ,498219126914928896,22403.47,8.873077,20.24207,0.997022,83.8182144409667,71.2365584224205
WDJ053313.91+711536.42,Gaia DR2 498230431268889856 ,498230431268889856,8188.164,7.860377,20.35778,0.92987,83.3080128111269,71.2601088112425
WDJ054402.39+714200.44,Gaia DR2 498261668568903936 ,498261668568903936,21731.74,8.734023,20.19212,0.998702,86.0100063458245,71.7001019753178
WDJ054155.11+715416.52,Gaia DR2 498326226218642816 ,498326226218642816,11277.22,7.927498,20.29645,0.987273,85.479713309708,71.90451966586
WDJ055743.73+722835.19,Gaia DR2 498413774831832448 ,498413774831832448,11620.68,7.73349,20.06785,0.983177,89.4322030142032,72.4763534648412
WDJ053606.39+720945.42,Gaia DR2 498521114654493952 ,498521114654493952,29244.64,7.860872,20.09286,0.976735,84.0265841642359,72.1625778295127
WDJ054407.64+724610.20,Gaia DR2 498609659701206784 ,498609659701206784,13762.28,7.449222,20.01408,0.952461,86.0318444969607,72.7694326232759
WDJ054847.15+730248.17,Gaia DR2 498713563549279488 ,498713563549279488,10361.64,7.435306,20.20663,0.953245,87.1967535488623,73.0466834207406
WDJ054801.26+731316.20,Gaia DR2 498728200798347520 ,498728200798347520,8307.887,8.363353,20.47719,0.995118,87.0051198855006,73.221162963817
WDJ050715.25+721248.60,Gaia DR2 499085370278232960 ,499085370278232960,22490.63,7.929591,20.13593,0.994285,76.8135866574173,72.2134614971982
WDJ050841.30+721013.52,Gaia DR2 499095128443914112 ,499095128443914112,11644.04,7.88393,20.2557,0.990707,77.1719761032887,72.1704266605827
WDJ055544.34+740659.27,Gaia DR2 499587194257066624 ,499587194257066624,12065.02,7.589813,20.12925,0.972114,88.9345805280074,74.1164819185171
WDJ055518.18+744433.08,Gaia DR2 499820050204206080 ,499820050204206080,16776.28,8.150364,20.0777,0.997415,88.8256865985849,74.7425290189951
WDJ042438.66+703820.34,Gaia DR2 500112142340336128 ,500112142340336128,11427.29,8.971811,20.31592,0.995609,66.1610928789498,70.6390521625207
WDJ041744.42+703618.76,Gaia DR2 500194128973871616 ,500194128973871616,10107.57,8.509822,20.30515,0.996312,64.4352322435021,70.6051180430141
WDJ042114.25+705229.48,Gaia DR2 500227075666254976 ,500227075666254976,10816.71,7.18427,20.08713,0.955118,65.3094356141924,70.8748135060284
WDJ043208.31+714005.87,Gaia DR2 500369432356742784 ,500369432356742784,15716.32,8.656664,20.36985,0.994318,68.0346594524414,71.6683179214085
WDJ044334.32+715048.49,Gaia DR2 500571051006311680 ,500571051006311680,8529.438,7.369697,20.15766,0.892047,70.8930911641563,71.8467547475393
WDJ041458.31+720428.50,Gaia DR2 501146026868248320 ,501146026868248320,15750.66,8.887325,20.46176,0.997309,63.7429603669334,72.0745992915498
WDJ041900.52+715133.14,Gaia DR2 501172518226886400 ,501172518226886400,13538.93,7.663878,20.13083,0.984818,64.7524199183756,71.8592884660355
WDJ042816.77+724005.81,Gaia DR2 501235121668726400 ,501235121668726400,24772.33,8.740741,20.30702,0.998172,67.0699802297265,72.6682635763692
WDJ023836.33+690646.10,Gaia DR2 541863381985627904 ,541863381985627904,5261.122,7.914507,20.31961,0.961113,39.6529394125874,69.1126973045858
WDJ030246.77+712947.87,Gaia DR2 542584352375600896 ,542584352375600896,8827.979,7.691797,20.33553,0.873649,45.6953640774692,71.4965720784106
WDJ032937.85+721005.12,Gaia DR2 543239970543011328 ,543239970543011328,23337.86,9.349787,20.41141,0.993845,52.4074876319546,72.1681726735614
WDJ034419.11+721132.88,Gaia DR2 543383731688212352 ,543383731688212352,14796.5,9.155786,20.43232,0.996287,56.0802204661442,72.1922959267481
WDJ035610.35+723933.59,Gaia DR2 543455577902806272 ,543455577902806272,17120.04,8.512336,20.26649,0.996759,59.04297367635,72.6593816040005
WDJ034824.92+721353.84,Gaia DR2 543464442715270656 ,543464442715270656,9958.741,8.057361,20.24802,0.982877,57.1039008575949,72.2316398404142
WDJ034655.51+725404.64,Gaia DR2 543697848417181056 ,543697848417181056,14524.28,8.791802,20.19766,0.997691,56.7312580261611,72.9013152554016
WDJ035231.51+731806.54,Gaia DR2 543733582549873536 ,543733582549873536,5412.261,7.854258,20.13111,0.956168,58.1329256384675,73.3015176716681
WDJ034412.23+734351.69,Gaia DR2 544555467486553984 ,544555467486553984,8425.316,8.449707,20.11436,0.995633,56.0512426223611,73.7308578426587
WDJ033548.22+744013.58,Gaia DR2 544855359282807936 ,544855359282807936,13727.44,7.029994,20.43846,0.837625,53.9508587882728,74.670534205177
WDJ033741.36+745312.04,Gaia DR2 544910128706150400 ,544910128706150400,11103.65,8.659024,20.54333,0.995249,54.4223229288519,74.8866487570452
WDJ021735.59+713241.93,Gaia DR2 546095196082485888 ,546095196082485888,14664.31,8.25888,20.15211,0.997232,34.3981004315268,71.5450081595259
WDJ021251.57+721729.57,Gaia DR2 546388319012071040 ,546388319012071040,6493.719,8.187118,20.08353,0.985458,33.2149287334339,72.2914734659209
WDJ021525.14+731746.75,Gaia DR2 546550123315293440 ,546550123315293440,22472.66,8.634338,20.06171,0.998678,33.8545779914718,73.296321118548
WDJ032647.88+745553.23,Gaia DR2 547905335819335808 ,547905335819335808,10181.74,8.23146,20.38083,0.977629,51.6993179301169,74.9314418249511
WDJ032456.19+761737.07,Gaia DR2 548238212966780672 ,548238212966780672,10389,8.38557,20.20929,0.996338,51.2344072494804,76.2935707664177
WDJ030108.20+760551.36,Gaia DR2 548935097178468480 ,548935097178468480,11242.57,8.46177,20.39689,0.993344,45.2842841723071,76.097623119052
WDJ031147.77+762938.17,Gaia DR2 549032678837633664 ,549032678837633664,11955.18,8.321521,20.16538,0.995837,47.9488928124173,76.4939513286477
WDJ025538.37+764558.48,Gaia DR2 549200530453819776 ,549200530453819776,7522.242,8.467244,20.10081,0.995578,43.9097179783633,76.766297650593
WDJ041757.80+734737.98,Gaia DR2 549622674199928320 ,549622674199928320,14970.08,9.288925,20.05112,0.996417,64.4910329688298,73.7938511603751
WDJ041541.65+740440.80,Gaia DR2 549689400810398208 ,549689400810398208,13185.67,8.811635,20.22186,0.997685,63.924310163363,74.0777026668154
WDJ043250.30+752327.57,Gaia DR2 550237644795289984 ,550237644795289984,12346.72,8.967216,20.43053,0.996353,68.2097054869676,75.3908878172389
WDJ042619.12+752934.94,Gaia DR2 550347213706062976 ,550347213706062976,12728.93,8.616026,20.23548,0.984934,66.5796150863455,75.4930186144485
WDJ034220.36+745859.44,Gaia DR2 550867832461441536 ,550867832461441536,4968.885,6.861997,20.1748,0.761988,55.5851242807932,74.9831512439365
WDJ034743.70+751811.36,Gaia DR2 550902604517244544 ,550902604517244544,21294.48,7.924606,20.3427,0.99132,56.9321922145154,75.3030877701552
WDJ035226.38+760920.61,Gaia DR2 551084539331350272 ,551084539331350272,25856.63,7.385558,20.03302,0.903262,58.1099164148752,76.1556974002346
WDJ042953.57+764958.14,Gaia DR2 551374363724868224 ,551374363724868224,7284.147,7.620479,20.10455,0.888952,67.473788196093,76.8328196516749
WDJ050042.52+770436.91,Gaia DR2 552131446199442432 ,552131446199442432,15946.46,7.633651,20.10409,0.98855,75.1776459834847,77.076840812539
WDJ050958.26+780306.39,Gaia DR2 552244700192510720 ,552244700192510720,17049.13,8.827175,20.42504,0.998184,77.4928554377374,78.0517730882857
WDJ051439.61+780742.24,Gaia DR2 552249063880831616 ,552249063880831616,11782.04,8.446462,20.02058,0.997632,78.6652910349253,78.1280500696089
WDJ055523.40+781827.43,Gaia DR2 552444600854492288 ,552444600854492288,18724.07,8.48187,20.36227,0.998068,88.8477320046629,78.3075082346395
WDJ054602.48+785422.47,Gaia DR2 552709587453210240 ,552709587453210240,20477.29,7.427532,20.36098,0.923166,86.5102331183023,78.9062075312038
WDJ053847.98+785950.94,Gaia DR2 552766173648813824 ,552766173648813824,7476.206,8.661929,20.42535,0.99219,84.7003889049427,78.9971443004176
WDJ051415.31+782342.92,Gaia DR2 553009170012868096 ,553009170012868096,10643.63,7.632613,20.28887,0.963825,78.5638573523295,78.3951785797128
WDJ051244.18+784411.40,Gaia DR2 553079225222656256 ,553079225222656256,11356.95,7.777804,20.07594,0.986222,78.184142484729,78.7364726040079
WDJ050914.93+792742.93,Gaia DR2 553360700199199104 ,553360700199199104,3680.967,7.375852,20.23527,0.841261,77.313371709805,79.4613054946612
WDJ055644.03+794554.89,Gaia DR2 553569710487312128 ,553569710487312128,11095.27,7.153659,20.17032,0.910253,89.1834970810843,79.7653009379978
WDJ051544.47+795133.75,Gaia DR2 553759552336910976 ,553759552336910976,10487.27,7.380504,20.1543,0.966196,78.9351926157202,79.859283658422
WDJ053141.26+801440.47,Gaia DR2 553783943455962112 ,553783943455962112,10705.01,6.980313,20.15938,0.917427,82.9217161775392,80.2445635627844
WDJ054120.26+800335.43,Gaia DR2 553812397615891200 ,553812397615891200,10480.14,8.517459,20.44672,0.995859,85.3346073481947,80.059789037689
WDJ040956.09+774149.01,Gaia DR2 554569166560696704 ,554569166560696704,12315.52,8.005431,20.0252,0.995977,62.4836090669598,77.6969353173253
WDJ040041.85+782027.85,Gaia DR2 554844220560715264 ,554844220560715264,13234.2,8.439537,20.16121,0.997386,60.1742240483707,78.3410415819959
WDJ040042.32+784017.74,Gaia DR2 554906716632534016 ,554906716632534016,16333.57,8.5527,20.3982,0.967202,60.1765794464131,78.6715181038983
WDJ040456.86+785541.27,Gaia DR2 555006192367650816 ,555006192367650816,11908.64,8.18569,20.41307,0.994647,61.2370809935263,78.9281087490458
WDJ034140.62+781600.36,Gaia DR2 555258461563927552 ,555258461563927552,3729.922,7.679976,20.03577,0.979957,55.4244247575089,78.2666627967925
WDJ034821.98+800549.51,Gaia DR2 556076253401166208 ,556076253401166208,17963.72,7.442883,20.00783,0.975291,57.0920541294249,80.0970696001243
WDJ044724.89+794047.63,Gaia DR2 556413837831691648 ,556413837831691648,11061.37,7.7349,20.04935,0.973914,71.8537970880722,79.6798553777011
WDJ044845.70+801320.64,Gaia DR2 556644116798128000 ,556644116798128000,9396.874,6.956868,20.03047,0.833568,72.1904715166788,80.2223515149923
WDJ051653.28+802921.96,Gaia DR2 556839761147439872 ,556839761147439872,10948.37,8.193271,20.18429,0.995969,79.2233096595144,80.4893984287364
WDJ051332.74+805734.37,Gaia DR2 557055853837806464 ,557055853837806464,11677.21,7.501072,20.37408,0.992654,78.3861801573364,80.9595929699222
WDJ051932.83+811915.67,Gaia DR2 557099868662634240 ,557099868662634240,24555.8,8.796222,20.30417,0.998707,79.8866454673541,81.3210314102477
WDJ044459.26+811456.51,Gaia DR2 557567019370221696 ,557567019370221696,10996.06,7.96177,20.01286,0.993888,71.2471564309237,81.2490155732141
WDJ045131.32+814311.79,Gaia DR2 557594988197117440 ,557594988197117440,15609.37,8.181471,20.45947,0.987958,72.8802282745243,81.7198939697496
WDJ041949.18+812023.20,Gaia DR2 557663054839449472 ,557663054839449472,17347.63,7.98874,20.17928,0.986868,64.9548718712203,81.3398137635245
WDJ054616.30+823135.89,Gaia DR2 558064788899710848 ,558064788899710848,11289.77,7.585752,20.11737,0.979349,86.5683439038019,82.5267566706103
WDJ055653.69+833744.67,Gaia DR2 558371007184021376 ,558371007184021376,8591.653,7.730941,20.08923,0.991911,89.222967588139,83.6291042081061
WDJ054914.49+835038.91,Gaia DR2 558432854712989696 ,558432854712989696,10865.4,8.729179,20.02623,0.996659,87.3108357060519,83.8439507595979
WDJ020138.91+745010.35,Gaia DR2 559299750912592000 ,559299750912592000,6426.156,8.330581,20.6416,0.962121,30.4110978863706,74.8361502024428
WDJ014824.47+752044.36,Gaia DR2 559384546450310912 ,559384546450310912,20271.38,8.472059,20.43638,0.96768,27.1020286481362,75.345615046267
WDJ023944.58+770459.33,Gaia DR2 561268598280544384 ,561268598280544384,4751.878,8.234679,20.42006,0.905094,39.9391994053067,77.0828858957257
WDJ003207.87+771542.22,Gaia DR2 564101283832604544 ,564101283832604544,15659.32,8.051402,20.13689,0.995021,8.03347971717131,77.2617383479976
WDJ003849.08+772639.75,Gaia DR2 564118287606797696 ,564118287606797696,11111.62,8.208622,20.14975,0.981307,9.70397236583815,77.4443967039476
WDJ003420.42+774500.36,Gaia DR2 564142614300153856 ,564142614300153856,10502.49,8.83247,20.11162,0.995628,8.58566220984019,77.750064920205
WDJ003814.37+814028.61,Gaia DR2 566601191020272000 ,566601191020272000,16475.63,8.668766,20.23829,0.998597,9.55979098268038,81.6745873229215
WDJ000236.98+830108.96,Gaia DR2 567299999379124864 ,567299999379124864,17284.72,7.806708,20.11796,0.995916,0.654888435676024,83.019166048688
WDJ032600.38+823636.36,Gaia DR2 569326468027475072 ,569326468027475072,11754.24,7.519598,20.0548,0.918265,51.5025315550348,82.6098138490862
WDJ033002.95+825312.65,Gaia DR2 569348565634994432 ,569348565634994432,12232.98,8.687833,20.46854,0.997229,52.5123069309723,82.8868135791823
WDJ035325.22+815526.62,Gaia DR2 569795203578976128 ,569795203578976128,5690.055,8.307709,20.01292,0.986437,58.3566706285523,81.924290883318
WDJ034746.88+823531.76,Gaia DR2 570067199565078656 ,570067199565078656,16418.85,8.081316,20.04492,0.99792,56.9452986418932,82.5921115897078
WDJ042155.03+830251.58,Gaia DR2 570139870411609728 ,570139870411609728,11904.82,7.932959,20.15773,0.994761,65.4795153586606,83.0476043571194
WDJ042012.68+832029.90,Gaia DR2 570161512750055552 ,570161512750055552,14897.58,8.86687,20.37858,0.99802,65.0534164436249,83.3416404103591
WDJ054152.50+840205.61,Gaia DR2 570462400978375040 ,570462400978375040,11547.26,8.318469,20.03422,0.997525,85.4689489878484,84.0350160683493
WDJ053501.23+841610.32,Gaia DR2 570496554558398080 ,570496554558398080,10284.82,7.974425,20.27367,0.987731,83.7552461568954,84.2694386171003
WDJ053945.63+842725.78,Gaia DR2 570534114048441856 ,570534114048441856,11588.91,7.86291,20.27157,0.971045,84.9403142928108,84.4572009549794
WDJ032647.38+842458.69,Gaia DR2 571228520065042688 ,571228520065042688,9278.845,7.886693,20.1324,0.96876,51.6967728565671,84.4164109602562
WDJ050949.34+854847.59,Gaia DR2 571820263479223168 ,571820263479223168,11319.5,7.11048,20.18281,0.942654,77.4570347711779,85.8131437984055
WDJ022043.30+823657.12,Gaia DR2 572142901421760384 ,572142901421760384,10732.04,7.917343,20.08864,0.986312,35.1810358156724,82.6158584352258
WDJ014329.56+825109.57,Gaia DR2 572385004434358144 ,572385004434358144,3864.479,7.952598,20.49515,0.975915,25.8730412581426,82.852482721665
WDJ014304.76+825748.24,Gaia DR2 572387405320005888 ,572387405320005888,10906.2,7.138041,20.22599,0.805489,25.7704313505875,82.9633890060651
WDJ014019.17+840719.94,Gaia DR2 572892287315805568 ,572892287315805568,10687.32,8.863861,20.49953,0.995322,25.079660203289,84.1222406968845
WDJ000310.74+841032.87,Gaia DR2 573457917329046272 ,573457917329046272,13443.86,8.042323,20.09821,0.995291,0.795020039341186,84.175775438505
WDJ003907.52+843922.83,Gaia DR2 573522552294011136 ,573522552294011136,9465.041,7.717485,20.3068,0.972399,9.78013470640149,84.6563674569862
WDJ004432.93+843452.12,Gaia DR2 573541617652523648 ,573541617652523648,17587.74,7.800913,20.09432,0.990485,11.1371959645021,84.5811235199087
WDJ011832.20+842358.71,Gaia DR2 573664767250637824 ,573664767250637824,12992.05,7.543163,20.21873,0.965946,19.6347312590327,84.3996147272964
